,machine_id,cpus,memory
0,5,0.5,0.2493
1,6,0.5,0.2493
2,7,0.5,0.2493
3,10,0.5,0.2493
4,13,0.5,0.2493
5,14,0.5,0.2493
6,19,0.5,0.2493
7,21,0.5,0.2493
8,23,0.5,0.2493
9,25,0.5,0.2493
10,26,0.5,0.2493
11,27,0.5,0.2493
12,28,0.5,0.2493
13,36,0.5,0.2493
14,37,0.5,0.2493
15,38,0.5,0.2493
16,39,0.5,0.2493
17,41,0.5,0.2493
18,43,0.5,0.2493
19,45,0.5,0.2493
20,46,0.5,0.2493
21,49,0.5,0.2493
22,52,0.5,0.2493
23,54,0.5,0.2493
24,56,0.5,0.2493
25,60,0.5,0.2493
26,61,0.5,0.2493
27,62,0.5,0.2493
28,63,0.5,0.2493
29,67,0.5,0.2493
30,68,0.5,0.2493
31,72,0.5,0.2493
32,73,0.5,0.2493
33,74,0.5,0.2493
34,75,0.5,0.2493
35,121306,0.5,0.2493
36,243096,0.5,0.2493
37,381113,0.5,0.4995
38,381126,0.5,0.4995
39,381128,0.5,0.4995
40,381129,0.5,0.4995
41,381133,0.5,0.4995
42,381139,0.5,0.4995
43,381227,0.5,0.4995
44,381233,0.5,0.4995
45,381234,0.5,0.4995
46,381235,0.5,0.4995
47,381236,0.5,0.4995
48,381352,0.5,0.4995
49,381361,0.5,0.2493
50,381364,0.5,0.4995
51,381365,0.5,0.4995
52,381368,0.5,0.4995
53,381369,0.5,0.4995
54,381370,0.5,0.4995
55,381371,0.5,0.4995
56,381374,0.5,0.4995
57,381378,0.5,0.4995
58,381381,0.5,0.4995
59,381384,0.5,0.4995
60,381386,0.5,0.4995
61,381389,0.5,0.4995
62,410692,0.5,0.4995
63,410695,0.5,0.4995
64,418535,0.5,0.4995
65,418536,0.5,0.4995
66,418547,0.5,0.4995
67,418548,0.5,0.4995
68,418549,0.5,0.4995
69,418551,0.5,0.4995
70,418552,0.5,0.4995
71,418559,0.5,0.4995
72,418560,0.5,0.4995
73,418561,0.5,0.4995
74,418562,0.5,0.4995
75,418564,0.5,0.4995
76,418565,0.5,0.4995
77,418566,0.5,0.4995
78,418570,0.5,0.4995
79,418572,0.5,0.4995
80,418574,0.5,0.4995
81,418581,0.5,0.4995
82,418583,0.5,0.4995
83,418584,0.5,0.4995
84,418585,0.5,0.4995
85,418586,0.5,0.4995
86,418588,0.5,0.4995
87,418589,0.5,0.4995
88,418689,0.5,0.4995
89,418690,0.5,0.4995
90,418691,0.5,0.4995
91,418695,0.5,0.4995
92,418697,0.5,0.4995
93,418708,0.5,0.4995
94,421565,0.5,0.4995
95,421569,0.5,0.4995
96,421571,0.5,0.4995
97,421574,0.5,0.4995
98,421578,0.5,0.4995
99,421587,0.5,0.4995
100,421592,0.5,0.4995
101,421593,0.5,0.4995
102,422053,0.5,0.4995
103,422055,0.5,0.4995
104,422069,0.5,0.4995
